Nombre del buque 	Señal Distintiva 	Matrícula 	País 	Categoría (*) 	Eslora (m) 	Puerto
FIDES FE II 		01325 	Argentina 	COSTEROS, FRESQUERO 	23.8 	
FIESTA 		01446 	Argentina 	COSTEROS, FRESQUERO 	18.8 	
FLORIDABLANCA 		0969 	Argentina 	ALTURA, FRESQUERO 	27.67 	
FLORIDABLANCA IV 		0255 	Argentina 	ALTURA,PROC.CONGELADOR 	34.98 	
FONSECA 		0920 	Argentina 	ALTURA,PROC.CONGELADOR 	62.4 	
FRANCA 		0495 	Argentina 	ALTURA, FRESQUERO 	27.29 	
FRANCO 		01458 	Argentina 	ALTURA, FRESQUERO 	32.53 	
FRANCO JOSE 		02984 	Argentina 	COSTEROS, FRESQUERO 	19.94 	
FUEGUINO I 		0331 	Argentina 	ALTURA,PROC.CONGELADOR 	52.25 	
GALA 		02722 	Argentina 	COSTEROS, FRESQUERO 	15.2 	
GALEMAR 		0904 	Argentina 	ALTURA, FRESQUERO 	54.4 	
GAUCHO GRANDE 		0339 	Argentina 	ALTURA, FRESQUERO 	28.5 	
GEMINIS 		01421 	Argentina 	ALTURA,PROC.CONGELADOR 	68.9 	
GIARDINI 		0778 	Argentina 	RADA O RIA, FRESQUERO 	12.15 	
GIULIANA. 		02633 	Argentina 	ALTURA,PROC.CONGELADOR 	63.89 	
GLORIA DEL MAR I 		01983 	Argentina 	ALTURA,PROC.CONGELADOR 	54.3 	
GLORIOSUS 		02626 	Argentina 	COSTEROS, FRESQUERO 	16.26 	
GOLFO SAN MATIAS 		0362 	Argentina 	ALTURA, FRESQUERO 	24.46 	
GRACIELA 		0578 	Argentina 	ALTURA, FRESQUERO 	44.1 	
GRAN CAPITAN 		01538 	Argentina 	ALTURA, FRESQUERO 	25.43 	
GURISES 		01386 	Argentina 	ALTURA, FRESQUERO 	25.2 	
GUSTAVO R 		075 	Argentina 	ALTURA, FRESQUERO 	68.3 	
HAMPON 		01410 	Argentina 	COSTEROS, FRESQUERO 	18.99 	
HARENGUS 		0510 	Argentina 	ALTURA,PROC.CONGELADOR 	80.75 	
HOPE N°7 		0788 	Argentina 	ALTURA,PROC.CONGELADOR 	50.6 	
HOYO MARU Nº 37 		02624 	Argentina 	ALTURA,PROC.CONGELADOR 	64.12 	
HUA I N°616 		0392 	Argentina 	ALTURA,PROC.CONGELADOR 	59.8 	
HUAFENG 801 		03013 	Argentina 	ALTURA,PROC.CONGELADOR 	65.04 	
HUAFENG 802 		03014 	Argentina 	ALTURA,PROC.CONGELADOR 	65.04 	
HUYU 906 		03026 	Argentina 	ALTURA,PROC.CONGELADOR 	65.92 	
